seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0341,0.2,0.3333,0.25,0.2157,3789.7271,3747.3361
1,6,0.0299,0.3636,0.6667,0.4706,0.0868,3774.749,3751.4428
2,6,0.0287,0.5556,0.8333,0.6667,0.0238,3738.6289,3719.6415
3,6,0.0839,0.2857,0.6667,0.4,0.2213,3825.4536,3793.0597
4,6,0.0383,0.4444,0.6667,0.5333,0.1583,3763.4042,3751.8541
5,6,0.0314,0.5556,0.8333,0.6667,0.1232,4231.5570,2997.8086
6,6,0.0299,0.4545,0.8333,0.5882,0.0924,2757.6550,2726.6849
7,6,0.0332,0.5714,0.6667,0.6154,0.1471,2863.6338,4796.8201
8,6,0.0288,0.5000,1.0000,0.6667,0.0168,3163.2838,3223.7494
9,6,0.0286,0.4286,1.0000,0.6000,0.0112,25.2986,1212.2438
10,6,0.0288,0.4615,1.0000,0.6316,0.0210,4425.2667,4897.2056
11,6,0.0310,0.3077,0.6667,0.4211,0.1345,4939.0646,4898.4762
12,6,0.0336,0.3750,0.5000,0.4286,0.1961,4537.6970,2841.6031
13,6,0.0301,0.4000,0.6667,0.5000,0.1022,2838.2206,2952.2920
14,6,0.0284,0.4000,1.0000,0.5714,0.0000,3453.2452,2844.2117
