seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0336,0.2308,0.5,0.3158,0.1891,103920.7122,16655.3054
1,6,0.0463,0.3571,0.8333,0.5,0.1863,130205.1144,27249.0442
2,6,0.0299,0.3571,0.8333,0.5,0.0924,135364.9373,16944.5567
3,6,0.0331,0.2778,0.8333,0.4167,0.1527,128734.5713,20440.3685
4,6,0.0299,0.5,0.8333,0.625,0.091,139767.7458,23880.0657
5,6,0.0303,0.2778,0.8333,0.4167,0.0938,119865.7199,25742.5934
6,6,0.0289,0.5000,1.0000,0.6667,0.0252,154897.6164,25855.5686
7,6,0.0294,0.4000,0.6667,0.5000,0.0616,113589.6747,17020.9516
8,6,0.0368,0.3333,0.8333,0.4762,0.1639,116050.0777,25479.9868
9,6,0.0292,0.3125,0.8333,0.4545,0.0658,115578.6962,25927.8756
10,6,0.0290,0.5000,0.8333,0.6250,0.0336,132097.6114,25946.3491
12,6,0.0293,0.3529,1.0000,0.5217,0.0336,153335.6844,25704.3159
13,6,0.0297,0.3846,0.8333,0.5263,0.0756,154430.2039,25610.8427
14,6,0.0313,0.3333,0.5000,0.4000,0.1345,156325.5241,25742.5598
11,6,0.0286,0.3158,1.0000,0.4800,0.0112,150641.1857,16751.0303
