seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0512,0.25,0.5,0.3333,0.3613,93169.5759,18650.1761
1,6,0.0311,0.25,0.6667,0.3636,0.1387,95557.5343,19075.7629
2,6,0.0305,0.3636,0.6667,0.4706,0.1176,95734.1597,19133.8518
3,6,0.0287,0.5556,0.8333,0.6667,0.0182,94629.5015,18771.2607
4,6,0.0641,0.3636,0.6667,0.4706,0.2661,98028.1596,19530.9005
5,6,0.0298,0.2500,0.5000,0.3333,0.0826,93232.5327,21610.9915
6,6,0.0299,0.4444,0.6667,0.5333,0.0938,106765.7737,21383.5306
7,6,0.0312,0.2857,0.6667,0.4000,0.1443,106476.2896,21253.4152
8,6,0.0308,0.3125,0.8333,0.4545,0.1134,108997.1066,21731.1350
9,6,0.0307,0.3333,0.6667,0.4444,0.1162,106864.7222,21365.4929
10,6,0.0287,0.5455,1.0000,0.7059,0.0168,84051.3649,19535.4291
11,6,0.0292,0.3333,0.8333,0.4762,0.0602,97661.0488,20004.8225
12,6,0.0365,0.2273,0.8333,0.3571,0.1793,94940.3578,19495.0270
13,6,0.0704,0.2143,0.5000,0.3000,0.4174,102252.5528,21131.4600
14,6,0.0301,0.2727,0.5000,0.3529,0.0840,105733.9008,21143.3327
