seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,1,0.0538,0.1875,0.5,0.2727,0.3838,2967.4331,1468.4941
0,2,0.0432,0.2308,0.5,0.3158,0.2913,5161.5528,2559.7667
0,3,0.0463,0.2308,0.5,0.3158,0.2997,7506.4681,3763.2828
0,4,0.0463,0.2778,0.8333,0.4167,0.1849,13955.461,6647.3014
0,5,0.0294,0.2941,0.8333,0.4348,0.049,12327.4489,6116.549
0,6,0.0295,0.3125,0.8333,0.4545,0.0602,15196.5508,7595.5741
0,7,0.0298,0.3125,0.8333,0.4545,0.07,17991.0887,8995.579
0,8,0.0298,0.3125,0.8333,0.4545,0.0742,20923.9661,10510.8776
0,9,0.0298,0.25,0.6667,0.3636,0.0756,30468.4118,14742.4346
0,10,0.0298,0.25,0.6667,0.3636,0.0756,34496.5933,15475.8135
0,11,0.0299,0.2222,0.6667,0.3333,0.084,38334.5717,16728.8596
0,12,0.0298,0.2353,0.6667,0.3478,0.077,43280.6249,19113.3477
0,13,0.0299,0.2353,0.6667,0.3478,0.0812,51879.8253,22743.182
0,14,0.0297,0.2941,0.8333,0.4348,0.0742,62482.3924,28065.2578
0,15,0.0297,0.2632,0.8333,0.4,0.0742,56401.4029,25283.1718
0,16,0.0299,0.2632,0.8333,0.4,0.0896,66054.2557,29600.8112
0,17,0.0299,0.2105,0.6667,0.32,0.0854,79985.0082,36572.4705
0,18,0.0297,0.2632,0.8333,0.4,0.0728,104740.0713,49906.8183
0,19,0.0298,0.25,0.8333,0.3846,0.077,175212.0471,82177.2433
0,20,0.0296,0.25,0.8333,0.3846,0.07,557196.8754,136658.8114
1,1,0.094,0.4,0.3333,0.3636,0.486,2975.8414,1470.5221
1,2,0.0307,0.5,0.3333,0.4,0.1246,5135.6093,2550.4233
1,3,0.0292,0.4286,0.5,0.4615,0.0574,7689.0476,3840.5742
1,4,0.0286,0.5,0.8333,0.625,0.0196,9908.8361,4944.35
1,5,0.0286,0.5,0.8333,0.625,0.021,20858.721,6140.6281
1,6,0.0286,0.4545,0.8333,0.5882,0.0182,15284.1467,7642.4041
1,7,0.0285,0.5,1.0,0.6667,0.0098,17776.5248,8891.3669
1,8,0.0285,0.4545,0.8333,0.5882,0.0112,33627.9041,16115.0851
1,9,0.0285,0.5,0.8333,0.625,0.0098,30505.4493,12975.6672
1,10,0.0285,0.625,0.8333,0.7143,0.0112,33406.5781,14488.5855
1,11,0.0286,0.625,0.8333,0.7143,0.0154,58431.771,25610.487
1,12,0.0285,0.5,0.8333,0.625,0.014,39680.9174,18778.2451
1,13,0.0285,0.6,1.0,0.75,0.0084,46190.9528,22092.5505
1,14,0.0285,0.6,1.0,0.75,0.0056,58312.5441,28431.1561
1,15,0.0285,0.6667,1.0,0.8,0.0084,53057.3703,25478.6025
1,16,0.0284,0.6,1.0,0.75,0.0042,62446.5327,29970.1597
1,17,0.0284,0.6,1.0,0.75,0.0028,75381.3214,36469.1923
1,18,0.0284,0.5,1.0,0.6667,0.0014,101146.286,49390.658
1,19,0.0284,0.5,1.0,0.6667,0.0014,160061.1586,79049.6414
1,20,0.0285,0.4615,1.0,0.6316,0.0056,275085.7514,136785.2541
2,1,0.0413,0.1538,0.3333,0.2105,0.3039,2975.6907,1478.0751
2,2,0.0328,0.25,0.5,0.3333,0.1863,5170.9511,2576.831
2,3,0.0303,0.2857,0.6667,0.4,0.1064,7564.7856,3778.1929
2,4,0.0334,0.3333,0.6667,0.4444,0.1639,9889.1794,4931.8332
2,5,0.0468,0.2857,0.6667,0.4,0.2073,12413.1558,6190.7905
2,6,0.0321,0.3636,0.6667,0.4706,0.1625,15061.6914,7504.2122
2,7,0.0321,0.4,0.6667,0.5,0.1653,17949.2799,8960.2332
