seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0557,0.0750,0.5000,0.1304,0.3655,0.0000,0.0156
1,6,0.0313,0.1429,0.8333,0.2439,0.1443,0.0000,0.0000
2,6,0.0303,0.1364,1.0000,0.2400,0.1092,0.0000,0.0000
3,6,0.0287,0.1622,1.0000,0.2791,0.0182,0.0000,0.0156
4,6,0.0547,0.0870,0.6667,0.1538,0.2661,0.0000,0.0156
5,6,0.0296,0.1622,1.0000,0.2791,0.0700,0.0000,0.0145
6,6,0.0301,0.1351,0.8333,0.2326,0.0994,0.0000,0.0157
7,6,0.0305,0.1481,0.6667,0.2424,0.1134,0.0000,0.0156
8,6,0.0308,0.1515,0.8333,0.2564,0.1148,0.0000,0.0150
9,6,0.0306,0.2083,0.8333,0.3333,0.1134,0.0000,0.0077
10,6,0.0288,0.1875,1.0000,0.3158,0.0182,0.0000,0.0168
11,6,0.0295,0.1471,0.8333,0.2500,0.0728,0.0000,0.0000
12,6,0.0351,0.1190,0.8333,0.2083,0.1765,0.0000,0.0027
13,6,0.0633,0.0714,0.5000,0.1250,0.4356,0.0000,0.0000
14,6,0.0301,0.1622,1.0000,0.2791,0.0826,0.0000,0.0000
