seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0314,0.3125,0.8333,0.4545,0.1261,2752.1503,9883.3522
1,6,0.0327,0.25,0.8333,0.3846,0.1499,3117.0895,10532.2381
2,6,0.0296,0.2381,0.8333,0.3704,0.0658,3266.6502,10727.022
3,6,0.0394,0.1765,0.5,0.2609,0.3011,3675.0698,11599.7157
4,6,0.0284,0.4,1.0,0.5714,0.0,3700.9981,11571.9336
5,6,0.0674,0.1053,0.3333,0.16,0.4328,3723.2568,11583.1312
6,6,0.0285,0.3333,1.0,0.5,0.0056,0.2776,5935.8209
7,6,0.0308,0.3333,0.8333,0.4762,0.1092,3789.2522,11805.7456
8,6,0.0612,0.1333,0.3333,0.1905,0.4244,3591.2562,11312.1843
9,6,0.0287,0.5556,0.8333,0.6667,0.0196,3473.7695,11241.747
10,6,0.0299,0.3125,0.8333,0.4545,0.091,3318.237,10815.6372
11,6,0.041,0.2308,0.5,0.3158,0.2885,4000.2364,12290.9828
12,6,0.0304,0.3077,0.6667,0.4211,0.1148,3238.4598,10861.1
13,6,0.0292,0.3125,0.8333,0.4545,0.0588,3468.1886,11081.4872
14,6,0.043,0.25,0.8333,0.3846,0.1877,3613.9468,11406.9626
