seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
13,7,0.0462,0.1579,0.5000,0.2400,0.3725,75.5419,109.2077
13,8,0.0480,0.0480,1.0000,0.0916,0.2353,270.6224,34.8920
14,1,0.0842,0.1000,0.1667,0.1250,0.3880,33.4352,9.5890
14,2,0.1968,0.3333,0.5000,0.4000,0.2773,35.3449,10.5693
14,3,0.0440,0.0909,0.1667,0.1176,0.3852,35.1330,10.8956
14,4,0.0416,0.0833,0.1667,0.1111,0.2591,38.2065,12.5496
14,5,0.0573,0.1818,0.3333,0.2353,0.3235,43.6798,18.4069
14,7,0.0517,0.1111,0.1667,0.1333,0.4104,118.5263,109.3911
14,8,0.0432,0.1333,0.3333,0.1905,0.3501,252.9965,308.7453
14,9,0.0424,0.2308,0.5000,0.3158,0.2843,151475.1592,77938.3791
