seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0365,0.1000,0.1667,0.1250,0.2717,86.7178,53.9712
1,6,0.0314,0.2667,0.6667,0.3810,0.1457,90.0164,58.1783
2,6,0.0434,0.2857,0.3333,0.3077,0.3515,85.3828,50.8258
3,6,0.0305,0.2143,0.5000,0.3000,0.0910,89.9171,61.6262
4,6,0.0462,0.0625,0.1667,0.0909,0.4272,96.9820,62.2219
5,6,0.0339,0.2500,0.5000,0.3333,0.1807,86.4369,54.8263
6,6,0.0421,0.1667,0.3333,0.2222,0.2941,94.1640,63.3159
7,6,0.0322,0.2000,0.5000,0.2857,0.1695,88.8941,60.1508
8,6,0.0339,0.2667,0.6667,0.3810,0.1891,91.5360,60.0614
9,6,0.0335,0.4000,0.6667,0.5000,0.1639,97.0776,59.5504
10,6,0.0297,0.2857,0.6667,0.4000,0.0826,93.5603,62.2614
11,6,0.0425,0.2500,0.5000,0.3333,0.3361,65.2074,34.0404
12,6,0.0392,0.0000,0.0000,0.0000,0.3165,90.9243,63.6899
13,6,0.0475,0.1111,0.3333,0.1667,0.3992,92.8906,58.1878
14,6,0.0338,0.0833,0.1667,0.1111,0.1961,89.3028,55.9739
