seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0308,0.3333,0.6667,0.4444,0.1246,22437.1127,9318.4524
1,6,0.0487,0.125,0.3333,0.1818,0.4146,23840.2378,9733.8784
2,6,0.05,0.0625,0.1667,0.0909,0.3277,21358.9871,9170.6705
3,6,0.0629,0.0588,0.1667,0.087,0.4398,24213.0735,10262.7412
4,6,0.2622,0.0182,0.1667,0.0328,0.6793,25323.6898,9920.3133
5,6,0.0342,0.2,0.5,0.2857,0.2255,23591.1633,9526.2271
6,6,0.0345,0.0667,0.1667,0.0952,0.2297,23819.5121,9943.6235
7,6,0.035,0.125,0.3333,0.1818,0.2451,24041.0115,9995.6947
8,6,0.0816,0.1538,0.3333,0.2105,0.486,17288.1153,10052.9566
9,6,0.0309,0.1852,0.8333,0.303,0.1261,25502.2414,10111.6398
10,6,0.3059,0.0755,0.6667,0.1356,0.4356,24989.3436,10143.0458
11,6,0.0317,0.2727,0.5,0.3529,0.1499,15371.8339,7539.3466
12,6,0.0345,0.1176,0.3333,0.1739,0.2283,25496.1909,10113.8478
13,6,0.1158,0.0682,0.5,0.12,0.4748,24574.8912,10233.6272
14,6,0.23,0.125,0.1667,0.1429,0.3796,23740.5272,9747.1592
