seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.2382,0.3333,0.6667,0.4444,0.7997,22437.1127,9318.4524
1,6,0.0737,0.1250,0.3333,0.1818,0.6078,23840.2378,9733.8784
2,6,0.0504,0.0625,0.1667,0.0909,0.5203,21358.9871,9170.6705
3,6,0.0498,0.0588,0.1667,0.0870,0.5161,24213.0735,10262.7412
4,6,0.0430,0.0182,0.1667,0.0328,0.3564,25323.6898,9920.3133
5,6,0.1240,0.2000,0.5000,0.2857,0.6996,23591.1633,9526.2271
6,6,0.0511,0.0667,0.1667,0.0952,0.5245,23819.5121,9943.6235
7,6,0.0737,0.1250,0.3333,0.1818,0.6078,24041.0115,9995.6947
8,6,0.0833,0.1538,0.3333,0.2105,0.6204,17288.1153,10052.9566
9,6,0.1623,0.1852,0.8333,0.3030,0.8242,25502.2414,10111.6398
10,6,0.0663,0.0755,0.6667,0.1356,0.6275,24989.3436,10143.0458
11,6,0.1604,0.2727,0.5000,0.3529,0.7164,15371.8339,7539.3466
12,6,0.0712,0.1176,0.3333,0.1739,0.6036,25496.1909,10113.8478
13,6,0.0581,0.0682,0.5000,0.1200,0.5777,24574.8912,10233.6272
14,6,0.0608,0.1250,0.1667,0.1429,0.5539,23740.5272,9747.1592
