seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.2684,0.3125,0.8333,0.4545,0.8704,2752.1503,9883.3522
1,6,0.2163,0.2500,0.8333,0.3846,0.8536,3117.0895,10532.2381
2,6,0.2064,0.2381,0.8333,0.3704,0.8494,3266.6502,10727.0220
12,6,0.2211,0.3077,0.6667,0.4211,0.7955,3238.4598,10861.1000
10,6,0.2684,0.3125,0.8333,0.4545,0.8704,3318.2370,10815.6372
13,6,0.2684,0.3125,0.8333,0.4545,0.8704,3468.1886,11081.4872
9,6,0.4710,0.5556,0.8333,0.6667,0.8999,3473.7695,11241.7470
8,6,0.0764,0.1333,0.3333,0.1905,0.6120,3591.2562,11312.1843
14,6,0.2163,0.2500,0.8333,0.3846,0.8536,3613.9468,11406.9626
3,6,0.1122,0.1765,0.5000,0.2609,0.6912,3675.0698,11599.7157
4,6,0.4000,0.4000,1.0000,0.5714,0.9622,3700.9981,11571.9336
5,6,0.0671,0.1053,0.3333,0.1600,0.5952,3723.2568,11583.1312
7,6,0.2858,0.3333,0.8333,0.4762,0.8746,3789.2522,11805.7456
11,6,0.1394,0.2308,0.5000,0.3158,0.7080,4000.2364,12290.9828
1,15,0.1469,0.1667,0.8333,0.2778,0.8116,10656.8673,35991.7650
2,15,0.2000,0.2000,1.0000,0.3333,0.8992,10789.7473,35605.7456
6,15,0.2222,0.2222,1.0000,0.3636,0.9118,10881.3183,36180.8558
10,15,0.1683,0.1923,0.8333,0.3125,0.8284,11027.6037,36032.5066
12,15,0.0817,0.1154,0.5000,0.1875,0.6534,10815.3262,36309.5735
9,15,0.1469,0.1667,0.8333,0.2778,0.8116,11341.8097,36706.3751
4,15,0.2400,0.2400,1.0000,0.3871,0.9202,12071.7215,37957.1252
13,15,0.2400,0.2400,1.0000,0.3871,0.9202,11659.3517,37212.0464
14,15,0.1935,0.1935,1.0000,0.3243,0.8950,11870.0098,37379.9820
8,15,0.0922,0.1364,0.5000,0.2143,0.6702,12079.5600,38146.4434
3,15,0.0740,0.1000,0.5000,0.1667,0.6366,12338.5590,38995.5832
5,15,0.1623,0.1852,0.8333,0.3030,0.8242,12355.4534,38563.6935
7,15,0.2064,0.2381,0.8333,0.3704,0.8494,12441.1840,38487.5559
11,15,0.0892,0.1304,0.5000,0.2069,0.6660,12623.7465,38709.9236
6,6,0.3333,0.3333,1.0000,0.5000,0.9496,0.2776,5935.8209
0,15,0.1683,0.1923,0.8333,0.3125,0.8284,16421.1624,59077.5490
