seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
7,1,0.0608,0.1250,0.1667,0.1429,0.5539,475.5746,1443.2772
7,2,0.0638,0.1429,0.1667,0.1538,0.5581,814.7605,2495.1187
7,3,0.1604,0.2727,0.5000,0.3529,0.7164,1177.6034,3621.6936
7,4,0.1122,0.1765,0.5000,0.2609,0.6912,1595.4809,4848.8309
7,5,0.1311,0.2143,0.5000,0.3000,0.7038,1939.4078,5952.7752
8,1,0.0987,0.2000,0.3333,0.2500,0.6331,468.5359,1448.9066
8,2,0.0504,0.0625,0.1667,0.0909,0.5203,827.9024,2523.9148
8,3,0.0653,0.1000,0.3333,0.1538,0.5910,1125.5354,3245.7839
8,4,0.0519,0.0714,0.1667,0.1000,0.5287,1402.2692,4254.3328
8,5,0.0690,0.1111,0.3333,0.1667,0.5994,1802.7048,4737.2609
9,1,0.2584,0.3636,0.6667,0.4706,0.8039,468.6158,1407.6850
9,2,0.3868,0.4545,0.8333,0.5882,0.8915,786.6677,2367.4837
9,3,0.3552,0.4167,0.8333,0.5556,0.8873,1109.3079,3332.4508
9,4,0.3868,0.4545,0.8333,0.5882,0.8915,1467.7011,4410.1295
9,5,0.3285,0.3846,0.8333,0.5263,0.8831,1824.0303,5450.5753
10,1,0.1490,0.2500,0.5000,0.3333,0.7122,390.5308,1282.9233
10,2,0.1311,0.2143,0.5000,0.3000,0.7038,663.2813,2154.5740
10,3,0.2211,0.3077,0.6667,0.4211,0.7955,937.2556,3046.3675
10,4,0.1564,0.2105,0.6667,0.3200,0.7703,1245.5730,4908.1516
10,5,0.1430,0.1905,0.6667,0.2963,0.7619,1682.9936,4621.6831
11,1,0.5493,0.8000,0.6667,0.7273,0.8291,404.2066,1293.1925
11,2,0.3493,0.5000,0.6667,0.5714,0.8165,794.3534,2162.7469
11,3,0.4247,0.5000,0.8333,0.6250,0.8957,952.1698,2853.2162
11,4,0.2531,0.2941,0.8333,0.4348,0.8662,1252.7156,3760.8552
11,5,0.2395,0.2778,0.8333,0.4167,0.8620,1550.2102,4667.9895
12,1,0.0764,0.1333,0.3333,0.1905,0.6120,426.4649,1235.3408
12,2,0.1729,0.2353,0.6667,0.3478,0.7787,715.6708,2096.8982
12,3,0.1729,0.2353,0.6667,0.3478,0.7787,1017.6917,2965.2727
