seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.3333,0.3333,1.0000,0.5000,0.9496,1747.4212,5501.5309
1,6,0.0990,0.1500,0.5000,0.2308,0.6786,1391.1799,5079.8781
2,6,0.3158,0.3158,1.0000,0.4800,0.9454,1506.0756,5202.9924
3,6,0.2857,0.2857,1.0000,0.4444,0.9370,1765.3150,5623.0136
4,6,0.1073,0.1667,0.5000,0.2500,0.6870,1964.9869,5990.1190
5,6,0.1029,0.1579,0.5000,0.2400,0.6828,1508.1829,5228.0907
6,6,0.1073,0.1667,0.5000,0.2500,0.6870,1987.1583,5931.8104
7,6,0.1073,0.1667,0.5000,0.2500,0.6870,1868.0935,5813.6860
8,6,0.0598,0.0833,0.3333,0.1333,0.5742,1675.4030,5498.7700
9,6,0.6667,0.6667,1.0000,0.8000,0.9874,1472.4876,7132.4827
10,6,0.1974,0.2273,0.8333,0.3571,0.8452,2881.8835,10063.9704
11,6,0.3529,0.3529,1.0000,0.5217,0.9538,3201.7526,9843.3240
12,6,0.2531,0.2941,0.8333,0.4348,0.8662,3238.9948,8955.0411
13,6,0.2858,0.3333,0.8333,0.4762,0.8746,1787.5747,7432.4326
14,6,0.1892,0.2174,0.8333,0.3448,0.8410,2742.3205,8468.2012
0,15,0.2143,0.2143,1.0000,0.3529,0.9076,10190.0882,32445.9926
1,15,0.1875,0.1875,1.0000,0.3158,0.8908,8567.1476,31381.8242
