seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0567,0.1000,0.1667,0.1250,0.5455,34246.9505,11702.4265
1,6,0.1938,0.2667,0.6667,0.3810,0.7871,36640.4525,12453.8864
2,6,0.1272,0.2857,0.3333,0.3077,0.6457,33171.5936,11578.6284
3,6,0.1311,0.2143,0.5000,0.3000,0.7038,36812.3890,12610.4965
4,6,0.0504,0.0625,0.1667,0.0909,0.5203,37992.2698,13009.4597
5,6,0.1490,0.2500,0.5000,0.3333,0.7122,34394.6730,11943.5521
6,6,0.0876,0.1667,0.3333,0.2222,0.6246,38982.3684,12937.1420
7,6,0.1240,0.2000,0.5000,0.2857,0.6996,38089.6409,12527.5079
8,6,0.1938,0.2667,0.6667,0.3810,0.7871,37778.9190,12556.2215
9,6,0.2827,0.4000,0.6667,0.5000,0.8081,39139.1258,12891.6557
10,6,0.2065,0.2857,0.6667,0.4000,0.7913,37510.8371,12811.8141
11,6,0.1490,0.2500,0.5000,0.3333,0.7122,23073.2081,9510.1545
12,6,0.0480,0.0000,0.0000,0.0000,0.4244,37408.2478,12845.5025
13,6,0.0690,0.1111,0.3333,0.1667,0.5994,36622.9015,12180.0399
14,6,0.0539,0.0833,0.1667,0.1111,0.5371,35278.0571,12004.0833
