seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.1394,0.2308,0.5000,0.3158,0.7080,2057.4969,2514.5324
1,6,0.1311,0.2143,0.5000,0.3000,0.7038,2119.2250,2639.4310
2,6,0.4247,0.5000,0.8333,0.6250,0.8957,1938.7396,2361.5438
3,6,0.0493,0.0556,0.1667,0.0833,0.5119,2173.8603,2627.9357
4,6,0.1240,0.2000,0.5000,0.2857,0.6996,2168.4868,2630.5957
5,6,0.1122,0.1765,0.5000,0.2609,0.6912,2061.0282,2470.1623
6,6,0.1938,0.2667,0.6667,0.3810,0.7871,2168.6122,2657.6430
7,6,0.1394,0.2308,0.5000,0.3158,0.7080,2149.5104,2607.6588
8,6,0.2684,0.3125,0.8333,0.4545,0.8704,2145.6896,2543.5076
9,6,0.0926,0.1818,0.3333,0.2353,0.6289,2165.2340,2718.0944
10,6,0.2064,0.2381,0.8333,0.3704,0.8494,2164.9408,2626.8174
11,6,0.0519,0.0714,0.1667,0.1000,0.5287,1796.6146,2283.7544
12,6,0.1271,0.1667,0.6667,0.2667,0.7493,2258.6357,2669.5224
13,6,0.0737,0.1250,0.3333,0.1818,0.6078,2260.5153,2739.4924
14,6,0.3750,0.3750,1.0000,0.5455,0.9580,2241.9240,2638.3250
