seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0459,0.1667,0.5000,0.2500,0.3585,0.0000,0.0145
1,6,0.0323,0.2500,0.6667,0.3636,0.1653,0.0000,0.0156
2,6,0.0312,0.1739,0.6667,0.2759,0.1415,0.0000,0.0000
3,6,0.0287,0.4545,0.8333,0.5882,0.0210,0.0000,0.0156
4,6,0.0721,0.3333,0.6667,0.4444,0.2647,0.0000,0.0156
5,6,0.0298,0.2308,0.5000,0.3158,0.0840,0.0000,0.0156
6,6,0.0322,0.2381,0.8333,0.3704,0.1583,0.0000,0.0032
7,6,0.0303,0.3333,0.6667,0.4444,0.1092,0.0000,0.0161
8,6,0.0300,0.3571,0.8333,0.5000,0.0952,0.0000,0.0000
9,6,0.0294,0.5556,0.8333,0.6667,0.0714,0.0000,0.0156
10,6,0.0287,0.3158,1.0000,0.4800,0.0154,0.0000,0.0000
11,6,0.0323,0.3333,0.8333,0.4762,0.1345,0.0000,0.0156
12,6,0.0319,0.2500,0.8333,0.3846,0.1457,0.0000,0.0066
13,6,0.0595,0.1538,0.3333,0.2105,0.4244,0.0000,0.0000
14,6,0.0307,0.1818,0.3333,0.2353,0.1064,0.0000,0.0157
