seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0323,0.2,0.5,0.2857,0.1723,22424.5885,8915.4821
1,6,0.031,0.2667,0.6667,0.381,0.1176,25102.4524,9554.5451
2,6,0.0292,0.5556,0.8333,0.6667,0.042,21417.6327,8406.7974
3,6,0.0328,0.1579,0.5,0.24,0.1695,25455.7493,9427.3766
4,6,0.034,0.2143,0.5,0.3,0.2199,25502.4072,9457.1396
5,6,0.0379,0.1667,0.5,0.25,0.2661,23515.6621,8993.8349
6,6,0.0378,0.2308,0.5,0.3158,0.2311,25813.4077,9511.9501
7,6,0.0385,0.1333,0.3333,0.1905,0.2885,24043.1969,9483.0796
8,6,0.0306,0.2727,1.0,0.4286,0.0854,24761.736,9221.3475
9,6,0.0294,0.1852,0.8333,0.303,0.0574,24926.8014,9275.2326
10,6,0.0308,0.2143,0.5,0.3,0.1204,24423.4072,9331.7535
11,6,0.0472,0.05,0.1667,0.0769,0.3894,14851.8238,7081.7531
12,6,0.0499,0.1818,0.3333,0.2353,0.3459,25475.2345,9619.8799
13,6,0.039,0.1429,0.3333,0.2,0.2773,24346.4293,9410.3517
14,6,0.029,0.5,1.0,0.6667,0.0252,23188.8777,9054.7542
