seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0349,0.1875,0.5,0.2727,0.2339,37841.654,10208.0844
1,6,0.0309,0.2667,0.6667,0.381,0.1275,56547.1657,18200.3219
2,6,0.0308,0.2353,0.6667,0.3478,0.1289,47370.904,13608.0531
3,6,0.0386,0.2857,0.6667,0.4,0.2339,74430.8304,13864.424
4,6,0.0314,0.3077,0.6667,0.4211,0.1485,51771.7609,11673.9641
5,6,0.0834,0.1875,0.5,0.2727,0.4118,40975.5012,16489.3116
6,6,0.0404,0.3333,0.8333,0.4762,0.1751,73337.7835,18312.474
7,6,0.0333,0.3,0.5,0.375,0.1947,71806.4331,18263.9499
8,6,0.0346,0.1875,0.5,0.2727,0.2045,71763.9798,17902.3288
9,6,0.0292,0.3333,0.8333,0.4762,0.063,70932.2138,18306.8111
10,6,0.0307,0.1429,0.1667,0.1538,0.105,51606.5937,11773.0011
11,6,0.0308,0.3125,0.8333,0.4545,0.1106,20489.5034,7050.3486
12,6,0.0296,0.3846,0.8333,0.5263,0.0574,59507.2966,17274.2715
13,6,0.0327,0.25,0.6667,0.3636,0.1835,71202.7191,11966.3678
14,6,0.0345,0.3333,0.6667,0.4444,0.2045,52006.2462,11324.8193
