seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0310,0.2667,0.6667,0.3810,0.1345,0.0000,0.0182
1,6,0.0294,0.2778,0.8333,0.4167,0.0686,0.0000,0.0030
2,6,0.0287,0.4167,0.8333,0.5556,0.0266,0.0000,0.0000
3,6,0.0320,0.2222,0.6667,0.3333,0.1583,0.0000,0.0000
4,6,0.0329,0.5000,0.8333,0.6250,0.1345,0.0000,0.0000
5,6,0.0329,0.4545,0.8333,0.5882,0.1331,0.0000,0.0158
6,6,0.0360,0.3846,0.8333,0.5263,0.1513,0.0000,0.0000
7,6,0.0314,0.5000,0.8333,0.6250,0.1261,0.0000,0.0000
8,6,0.0286,0.3529,1.0000,0.5217,0.0070,0.0000,0.0000
9,6,0.0287,0.4000,1.0000,0.5714,0.0126,0.0000,0.0000
10,6,0.0286,0.4286,1.0000,0.6000,0.0140,0.0000,0.0000
11,6,0.0307,0.2941,0.8333,0.4348,0.1148,0.0000,0.0000
12,6,0.0421,0.2667,0.6667,0.3810,0.2325,0.0000,0.0000
13,6,0.0293,0.3077,0.6667,0.4211,0.0546,0.0000,0.0000
14,6,0.0284,0.3000,1.0000,0.4615,0.0014,0.0000,0.0000
