seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0468,0.2500,0.5000,0.3333,0.3263,16.6672,4.4305
1,6,0.0541,0.1667,0.3333,0.2222,0.4342,9.3982,4.6814
2,6,0.0289,0.5000,0.8333,0.6250,0.0280,7.6878,3.5839
3,6,0.1733,0.0270,0.1667,0.0465,0.7521,9.0510,4.3724
4,6,0.2240,0.0417,0.5000,0.0769,0.4272,8.9923,4.2397
5,6,0.0300,0.2000,0.6667,0.3077,0.0924,7.9745,3.9294
6,6,0.2013,0.1250,0.5000,0.2000,0.3641,8.5170,4.5186
7,6,0.0524,0.0526,0.1667,0.0800,0.4580,8.5611,4.3018
8,6,0.0308,0.2000,0.6667,0.3077,0.1064,8.6282,4.0808
9,6,0.3980,0.0938,0.5000,0.1579,0.4986,8.6875,4.4268
10,6,0.0304,0.0706,1.0000,0.1319,0.1134,8.6122,4.1860
11,6,0.0558,0.0000,0.0000,0.0000,0.4986,5.8306,2.9091
12,6,0.0515,0.0625,0.3333,0.1053,0.4538,8.8189,4.3655
13,6,0.0578,0.0870,0.6667,0.1538,0.3571,8.8231,4.2881
14,6,0.0290,0.4000,1.0000,0.5714,0.0280,8.3513,4.0418
